student_id,name,gender,age,grade_level,math_score,reading_score,writing_score,attendance_rate,parent_education,study_hours,internet_access,lunch_type,extra_activities,final_result
S40,Student_40,Other,17,9,79,94,76,84.53043252072212,Bachelor's,4.707630248583456,Yes,Standard,Yes,Fail
S41,Student_41,Male,15,12,88,84,95,92.27940612650465,Master's,4.848233995765407,Yes,Standard,Yes,Pass
S42,Student_42,Other,17,12,98,97,57,85.05716236500223,Bachelor's,3.03583616168819,No,Standard,Yes,Pass
S43,Student_43,Other,17,9,61,58,95,91.55263508688846,High School,2.811299221137307,No,Free or reduced,No,Fail
S44,Student_44,Male,15,12,90,57,91,87.1841749396538,Bachelor's,2.114777263714103,No,Standard,No,Pass
S45,Student_45,Male,16,12,96,94,66,96.47104453223638,Bachelor's,4.83548749276164,Yes,Standard,No,Pass
S46,Student_46,Other,16,12,67,66,58,96.41392321533559,Master's,1.5712572178914694,Yes,Free or reduced,Yes,Fail
S47,Student_47,Female,16,10,70,66,55,89.54700796244802,High School,3.3193183041909,No,Standard,Yes,Fail
S48,Student_48,Male,15,12,62,98,92,87.01638218670031,Master's,2.1302010700745555,No,Standard,Yes,Fail
S49,Student_49,Female,17,12,70,82,74,87.2511959311819,Bachelor's,2.1160331613911865,Yes,Free or reduced,No,Pass
S50,Student_50,Female,16,12,57,81,88,96.11429051336435,PhD,2.619874349504754,No,Standard,Yes,Pass
S51,Student_51,Female,16,10,95,57,98,86.56358965595224,Bachelor's,4.995171743262619,No,Standard,Yes,Fail
S52,Student_52,Male,15,9,89,68,77,84.18118747413692,Master's,1.2198652273592883,No,Standard,No,Pass
S53,Student_53,Female,16,11,95,87,82,81.69376683750613,PhD,3.314167272814126,No,Standard,No,Fail
S54,Student_54,Male,15,12,56,52,86,89.33386241768817,Master's,1.3302886321411087,No,Free or reduced,Yes,Pass
S55,Student_55,Female,17,9,72,54,58,89.64264197839684,Master's,1.6180833199620759,Yes,Standard,No,Fail
S56,Student_56,Other,15,12,93,62,67,96.81817420805814,High School,2.7582517670915947,No,Free or reduced,Yes,Pass
S57,Student_57,Other,15,10,81,96,70,84.42477392892128,PhD,3.041840525385765,No,Standard,No,Fail
S58,Student_58,Male,15,9,60,95,51,87.619825473368,Bachelor's,2.035169633458096,Yes,Free or reduced,No,Pass
S59,Student_59,Other,15,10,71,80,92,96.16811477787383,Master's,2.2658285234976647,Yes,Free or reduced,No,Pass
S60,Student_60,Other,17,12,71,65,87,96.47247221497946,Bachelor's,1.3478680810237322,Yes,Free or reduced,Yes,Fail
S61,Student_61,Female,17,12,92,99,89,87.69222151957537,High School,2.212879135377002,Yes,Standard,Yes,Pass
S62,Student_62,Male,16,10,74,81,85,89.18248046573362,High School,4.866233757522176,No,Standard,Yes,Pass
S63,Student_63,Female,17,11,71,71,99,86.06571781698565,PhD,4.778829526689927,No,Standard,No,Fail
S64,Student_64,Female,17,10,77,78,92,98.65109756838623,High School,2.33951316054794,No,Free or reduced,No,Pass
S65,Student_65,Female,16,12,78,71,86,82.3728753148316,High School,3.2834157451150463,No,Standard,No,Pass
S66,Student_66,Female,17,10,62,92,64,98.6749884600294,Bachelor's,4.638381564443778,Yes,Standard,No,Pass
S67,Student_67,Female,15,11,67,52,77,93.67732903670687,High School,1.0247352905635867,Yes,Standard,Yes,Fail
S68,Student_68,Female,15,10,51,59,67,90.63144305373463,High School,4.2427342813503675,No,Standard,Yes,Fail
S69,Student_69,Female,16,11,78,91,83,80.65318121568991,Master's,4.793478211155676,No,Free or reduced,Yes,Fail
S70,Student_70,Male,16,11,70,70,71,89.51192383644016,High School,1.3653029373342283,No,Free or reduced,No,Fail
S71,Student_71,Other,16,10,64,65,60,88.15496210005465,Master's,1.6457907441316841,No,Standard,No,Fail
S72,Student_72,Female,15,10,76,61,62,83.22437623950245,High School,4.842985211085422,Yes,Standard,Yes,Pass
S73,Student_73,Female,17,9,99,51,53,93.12819207001314,High School,3.150160574561385,No,Standard,No,Pass
S74,Student_74,Female,15,12,80,90,71,99.42301814736572,PhD,1.0567865378868948,Yes,Free or reduced,Yes,Fail
S75,Student_75,Female,16,11,64,73,56,91.2437762212905,PhD,2.0305279950541166,Yes,Standard,No,Pass
S76,Student_76,Female,17,9,72,84,92,94.29506552887892,Master's,2.7997746970754385,Yes,Free or reduced,No,Pass
S77,Student_77,Female,17,10,73,79,73,81.36900905132033,High School,3.771635644099071,Yes,Free or reduced,Yes,Pass
S78,Student_78,Other,15,12,93,79,53,88.35333991633989,Bachelor's,3.9326415125471983,No,Standard,Yes,Pass
S79,Student_79,Other,16,9,62,96,77,82.32716970328991,PhD,4.981686051701825,No,Standard,No,Fail
S80,Student_80,Female,15,11,71,84,64,92.2559167107302,Bachelor's,2.150044797535036,No,Standard,Yes,Fail
S81,Student_81,Other,17,9,92,68,50,98.7696431642831,PhD,3.152880407473901,No,Free or reduced,Yes,Pass
S82,Student_82,Male,15,11,86,99,52,93.23555464943277,PhD,3.13329419143842,Yes,Free or reduced,No,Pass
S83,Student_83,Female,15,10,82,57,63,81.53606096628843,High School,2.62258103778895,Yes,Standard,No,Fail
S84,Student_84,Male,16,12,52,75,87,87.09332409970166,PhD,1.6766475753696808,Yes,Free or reduced,No,Pass
S85,Student_85,Male,16,12,68,98,99,91.01326758881703,Bachelor's,4.90982625273537,No,Standard,Yes,Pass
S86,Student_86,Female,17,12,72,89,50,88.06415512266504,PhD,4.413268746666344,Yes,Standard,No,Pass
S87,Student_87,Other,15,10,78,56,87,96.67288020950345,Master's,2.993332113176949,Yes,Free or reduced,No,Fail
S88,Student_88,Male,15,11,79,79,87,96.29342009419979,High School,3.4129816907361192,Yes,Free or reduced,No,Fail
S89,Student_89,Female,15,10,88,56,70,92.23662040206443,High School,1.9090442142386492,Yes,Free or reduced,No,Pass
S90,Student_90,Male,17,12,93,52,97,87.4691589026541,Master's,3.1751482815669876,No,Free or reduced,No,Pass
S91,Student_91,Male,17,10,96,50,78,85.10672747526488,Master's,3.7798805324859033,Yes,Standard,Yes,Pass
S92,Student_92,Male,16,10,74,85,54,82.11748636426259,Master's,3.060668113546355,Yes,Standard,No,Pass
S93,Student_93,Male,16,10,86,74,98,87.09795366973108,PhD,4.9611406823397655,No,Standard,No,Pass
S94,Student_94,Other,16,11,96,86,59,88.26345034415439,High School,3.4453666249909047,No,Free or reduced,Yes,Pass
S95,Student_95,Male,15,9,57,50,77,93.51645850208148,Master's,2.483894850368676,No,Standard,No,Fail
S96,Student_96,Male,15,9,91,64,70,93.16319648595147,PhD,4.088608110463353,Yes,Free or reduced,No,Fail
S97,Student_97,Male,16,10,65,86,99,81.40216279282514,Master's,1.6818500463265682,Yes,Free or reduced,Yes,Pass
S98,Student_98,Other,15,9,57,62,56,87.90518630862316,Bachelor's,2.538063254825066,Yes,Free or reduced,No,Fail
S99,Student_99,Male,16,9,50,89,52,83.63557734434724,Bachelor's,2.3878358015103434,Yes,Standard,Yes,Pass
S100,Student_100,Male,17,10,93,57,94,83.13625410633611,High School,2.727228380431109,No,Free or reduced,No,Pass
S101,Student_101,Other,16,10,54,54,96,96.54604299474492,PhD,4.127119303714905,Yes,Free or reduced,Yes,Fail
S102,Student_102,Other,17,12,52,58,69,80.83830433432514,Bachelor's,2.93669212865363,Yes,Free or reduced,Yes,Fail
S103,Student_103,Other,15,9,50,50,68,88.38365751804243,Bachelor's,4.176057801063851,No,Free or reduced,No,Pass
S104,Student_104,Male,16,11,53,85,84,83.36407311533037,PhD,3.3059556125594636,No,Free or reduced,Yes,Pass
S105,Student_105,Other,15,10,89,84,53,97.58660431356948,Master's,2.3682777386302214,No,Free or reduced,Yes,Fail
S106,Student_106,Other,17,12,84,51,54,91.1408102655007,PhD,4.23991497473389,Yes,Free or reduced,No,Fail
S107,Student_107,Male,17,11,81,89,50,84.62761272753696,Master's,1.9531586822123663,Yes,Free or reduced,No,Pass
S108,Student_108,Other,17,9,91,72,53,90.04854574332752,Bachelor's,1.897531919199182,Yes,Free or reduced,Yes,Pass
S109,Student_109,Male,15,12,83,58,61,94.62972719406231,Bachelor's,3.018011696219343,Yes,Free or reduced,No,Pass
S110,Student_110,Female,15,10,92,83,76,99.16236017838867,Bachelor's,2.0433969838483557,Yes,Free or reduced,Yes,Fail
S111,Student_111,Other,15,11,74,95,91,84.40892008490837,High School,1.0363481398048653,No,Free or reduced,Yes,Pass
S112,Student_112,Female,15,10,59,63,72,97.7236354425869,High School,3.593190109195206,No,Standard,No,Fail
S113,Student_113,Male,17,9,70,53,74,98.6860822833498,High School,3.044375285889592,Yes,Standard,No,Pass
S114,Student_114,Other,17,11,95,79,70,98.32841089064132,PhD,2.7820712579726448,Yes,Free or reduced,Yes,Fail
S115,Student_115,Male,16,9,88,80,73,92.7082871372382,Bachelor's,4.867874058473261,Yes,Free or reduced,No,Fail
S116,Student_116,Female,16,9,76,87,74,92.59641308869415,Bachelor's,3.2847967358516548,Yes,Free or reduced,No,Fail
S117,Student_117,Male,15,12,76,60,94,88.06421266367646,PhD,4.4537263111575385,Yes,Standard,Yes,Fail
S118,Student_118,Other,17,10,51,84,95,95.04795764607576,High School,1.5578009448206407,No,Standard,Yes,Pass
S119,Student_119,Other,17,11,90,57,81,90.62588036701864,PhD,3.2768258525177107,No,Standard,Yes,Fail
S120,Student_120,Female,17,9,97,52,81,93.5487614245659,High School,4.471918506923611,No,Free or reduced,Yes,Fail
S121,Student_121,Male,16,9,62,63,54,88.56915807697591,Bachelor's,3.332423029119592,Yes,Free or reduced,Yes,Fail
S122,Student_122,Other,16,11,58,62,85,94.62992928086278,Master's,3.872056712508006,Yes,Free or reduced,Yes,Pass
S123,Student_123,Female,17,9,85,94,95,96.48943035209098,High School,2.4881742712488295,No,Free or reduced,No,Pass
S124,Student_124,Other,17,12,71,81,91,82.92872513205633,Bachelor's,1.3697980681482664,No,Standard,Yes,Pass
S125,Student_125,Other,17,12,91,83,98,96.65859431148456,Bachelor's,2.8316011805082857,Yes,Free or reduced,No,Pass
S126,Student_126,Male,16,12,75,94,91,90.80593063580615,Master's,2.57791756335543,No,Standard,No,Pass
S127,Student_127,Other,17,12,61,68,88,96.89331818180449,Bachelor's,4.46824072951579,No,Standard,Yes,Pass
S128,Student_128,Male,17,9,66,87,65,88.62603412682029,Bachelor's,1.975981209409889,Yes,Free or reduced,No,Fail
S129,Student_129,Other,15,11,63,65,82,87.5808097076607,High School,4.866936910140432,No,Standard,Yes,Fail
S130,Student_130,Female,15,11,63,51,98,98.30121465034445,High School,4.832552479217984,No,Standard,No,Fail
S131,Student_131,Other,16,11,83,89,70,85.02338535096803,Master's,1.9905265722857548,No,Standard,Yes,Pass
S132,Student_132,Male,17,11,69,66,58,96.88424650572287,Master's,2.392207821909282,Yes,Standard,Yes,Fail
S133,Student_133,Male,17,10,60,83,55,89.68041145018807,Bachelor's,4.58222296349554,No,Free or reduced,Yes,Fail
S134,Student_134,Female,15,11,65,91,94,90.2819088510252,High School,4.86648888358443,No,Free or reduced,Yes,Pass
S135,Student_135,Other,16,10,80,65,84,86.16936562978968,Master's,2.773756411344176,No,Standard,No,Fail
S136,Student_136,Other,15,10,55,87,88,91.4608440123803,Master's,2.2839881825635913,Yes,Free or reduced,No,Pass
S137,Student_137,Female,15,12,68,51,71,86.50422392552423,PhD,3.104376053006168,Yes,Standard,No,Fail
S138,Student_138,Other,15,10,86,51,90,80.78538828483305,Master's,3.751076825462939,No,Free or reduced,No,Pass
S139,Student_139,Other,15,9,53,75,54,85.43997210688713,Bachelor's,2.093898061499919,Yes,Free or reduced,No,Pass
S140,Student_140,Male,17,10,96,62,91,80.12758086813182,High School,3.945892698476291,No,Free or reduced,Yes,Pass
S141,Student_141,Other,17,12,53,96,72,99.56709574113714,Master's,1.2066294284585641,Yes,Free or reduced,Yes,Fail
S142,Student_142,Other,15,10,69,80,66,99.31494419639495,PhD,1.1971779710576658,Yes,Free or reduced,Yes,Fail
S143,Student_143,Female,16,9,59,83,61,87.9031059494461,High School,2.545150820582181,No,Standard,Yes,Pass
S144,Student_144,Female,16,9,73,88,72,94.56741708679291,Master's,2.4138927682428823,No,Free or reduced,Yes,Pass
S145,Student_145,Male,16,9,84,52,65,86.9161219682085,PhD,2.262532861468609,No,Standard,No,Fail
S146,Student_146,Other,16,12,75,57,52,93.42186314171953,Master's,2.96407905067564,Yes,Standard,Yes,Fail
S147,Student_147,Other,15,12,86,72,79,96.10860086091958,High School,2.282934329246285,No,Free or reduced,Yes,Pass
S148,Student_148,Other,17,11,87,63,71,98.93512489384482,High School,1.7690316738723677,Yes,Standard,No,Fail
S149,Student_149,Male,16,12,70,76,58,88.00424551699344,High School,2.2378781963544037,Yes,Free or reduced,No,Fail
S150,Student_150,Male,15,9,89,78,78,95.66595965912096,Bachelor's,4.899617091240939,No,Standard,Yes,Fail
S151,Student_151,Female,16,9,88,88,96,85.31856901264237,Master's,2.6444536679793944,Yes,Standard,Yes,Pass
S152,Student_152,Male,16,12,70,88,86,99.80664607587296,Bachelor's,2.778851107433343,No,Free or reduced,No,Pass
S153,Student_153,Other,15,10,59,50,72,80.51539197528702,High School,3.30617995980456,Yes,Free or reduced,Yes,Fail
S154,Student_154,Other,17,12,87,66,62,92.07057613002242,PhD,4.933363073656906,No,Free or reduced,Yes,Pass
S155,Student_155,Male,17,12,95,90,81,93.19011963302654,Master's,1.966405105743052,Yes,Free or reduced,Yes,Fail
S156,Student_156,Other,15,9,53,79,95,93.76091114148258,Bachelor's,3.7251284421297353,Yes,Standard,No,Fail
S157,Student_157,Other,17,11,94,62,96,82.40775157578177,Master's,3.8639387741668965,No,Free or reduced,Yes,Pass
S158,Student_158,Male,15,9,69,70,97,98.77059566946261,PhD,3.4292976671722637,Yes,Standard,Yes,Pass
S159,Student_159,Male,15,11,66,68,72,83.62366558100166,Bachelor's,1.3543133585465763,No,Standard,No,Pass
S160,Student_160,Other,15,9,56,68,94,92.45506806479682,High School,3.707489103310306,Yes,Standard,No,Fail
S161,Student_161,Other,17,12,53,74,66,84.4535215824617,Bachelor's,1.256378844144702,Yes,Standard,No,Fail
S162,Student_162,Other,15,9,78,71,89,86.14432834042542,Master's,3.3845705981995877,Yes,Standard,Yes,Pass
S163,Student_163,Female,16,9,63,80,70,90.92917083456248,Master's,3.9583247088869706,No,Standard,No,Pass
S164,Student_164,Female,17,9,52,66,51,88.34386837129153,Master's,1.8438795624798017,No,Free or reduced,Yes,Pass
S165,Student_165,Female,17,12,73,72,86,83.20451201953013,Master's,4.366488030171096,No,Standard,No,Fail
S166,Student_166,Male,17,12,86,81,55,83.41872804841697,High School,1.121415222132017,No,Standard,Yes,Fail
S167,Student_167,Female,17,12,65,59,93,88.36289576325599,Bachelor's,4.375251454633224,No,Standard,No,Fail
S168,Student_168,Male,16,12,53,59,67,95.14565956551002,High School,2.8413162025710603,Yes,Free or reduced,Yes,Pass
S169,Student_169,Male,17,11,73,85,79,97.95929293695576,High School,1.870351759726578,Yes,Free or reduced,Yes,Pass
S170,Student_170,Female,17,11,83,57,71,81.68255324518766,High School,1.535112579975872,No,Standard,No,Fail
S171,Student_171,Female,15,10,79,69,82,87.86207815118802,Master's,4.81322867032949,Yes,Free or reduced,No,Pass
S172,Student_172,Female,17,12,67,81,79,82.00491127445753,Master's,1.2906623503246268,Yes,Standard,Yes,Pass
S173,Student_173,Other,16,11,68,99,66,80.33184961265195,Master's,1.7963736797437027,Yes,Free or reduced,No,Pass
S174,Student_174,Female,16,9,80,63,92,93.23437365287913,Bachelor's,2.391289389732184,Yes,Standard,Yes,Pass
S175,Student_175,Other,16,12,68,99,81,92.04898883933176,PhD,3.480939395844482,No,Free or reduced,No,Fail
S176,Student_176,Male,16,10,98,77,91,83.26038227629772,Master's,3.1792043411043935,Yes,Free or reduced,No,Pass
S177,Student_177,Other,17,10,95,95,63,84.67625666186129,Bachelor's,1.502573969649256,No,Free or reduced,Yes,Fail
S178,Student_178,Female,17,10,68,73,59,80.47415507289037,Master's,2.1589119349528585,No,Standard,No,Fail
S179,Student_179,Male,16,9,71,64,96,96.69894411388807,Master's,1.9550070843440963,Yes,Standard,No,Pass
S180,Student_180,Male,16,11,73,71,85,99.49381192097103,High School,1.8541714179613655,No,Standard,Yes,Fail
S181,Student_181,Male,17,9,94,79,83,82.70919073589381,High School,2.644577345919948,Yes,Free or reduced,Yes,Fail
S182,Student_182,Other,16,12,61,53,58,84.62950427530596,High School,3.8161258103666276,Yes,Free or reduced,No,Pass
S183,Student_183,Female,15,10,79,62,91,97.36819047893869,Bachelor's,1.8698117288689438,Yes,Standard,Yes,Fail
S184,Student_184,Male,16,9,87,72,77,98.5292759591237,PhD,2.4667155188119256,No,Free or reduced,No,Fail
S185,Student_185,Male,16,9,80,57,60,88.3925476561362,PhD,2.563669707364649,No,Standard,No,Fail
S186,Student_186,Male,15,11,85,67,63,81.01244944538148,Bachelor's,4.905826117741641,No,Standard,Yes,Fail
S187,Student_187,Other,15,11,68,61,88,80.78783667385639,Master's,4.818665427516276,Yes,Standard,Yes,Fail
S188,Student_188,Other,17,10,97,80,96,91.4789973213802,Bachelor's,4.200550331008303,Yes,Standard,Yes,Fail
S189,Student_189,Female,17,9,94,63,68,87.85790217786358,Master's,1.9666356832767407,Yes,Free or reduced,Yes,Fail
S190,Student_190,Other,15,9,85,83,64,80.57304855155309,Bachelor's,1.2721492563666787,No,Free or reduced,Yes,Fail
S191,Student_191,Male,15,11,79,67,77,91.66504784625113,Bachelor's,2.267616550882499,Yes,Free or reduced,Yes,Pass
S192,Student_192,Female,17,9,98,83,73,80.22605073178045,Bachelor's,2.0671781977353234,Yes,Standard,No,Pass
S193,Student_193,Male,16,9,82,60,57,95.74743916298546,PhD,3.0237032005855755,No,Free or reduced,No,Pass
S194,Student_194,Male,15,9,67,90,92,86.12865645406742,High School,4.110911640271173,No,Standard,Yes,Fail
S195,Student_195,Other,17,11,98,61,58,80.80516006018465,Bachelor's,4.433291755515432,No,Standard,No,Fail
S196,Student_196,Female,16,10,77,98,96,91.76704441966307,PhD,4.379456341642034,Yes,Standard,No,Fail
S197,Student_197,Other,15,12,96,64,82,87.9536882886611,High School,2.438702244892271,Yes,Standard,No,Pass
S198,Student_198,Other,16,10,60,80,82,99.47600826714299,High School,3.7489373738427316,Yes,Standard,No,Pass
S199,Student_199,Female,17,12,94,98,68,90.88397325007405,Bachelor's,2.25133679009688,No,Standard,Yes,Pass
S200,Student_200,Male,15,9,82,78,52,85.50478362074017,Master's,1.2436221729407309,No,Free or reduced,No,Fail
S201,Student_201,Male,16,10,66,75,59,94.18877729267949,Master's,3.806261062411769,No,Free or reduced,No,Pass
S202,Student_202,Female,15,12,55,67,89,85.42984005085422,Master's,1.0393102102791514,No,Free or reduced,Yes,Pass
S203,Student_203,Male,16,11,53,81,96,98.0848658281513,Bachelor's,2.6367303498339543,Yes,Free or reduced,Yes,Fail
S204,Student_204,Female,17,11,69,71,91,87.49443941014752,Master's,2.317517077208303,Yes,Standard,Yes,Pass
S205,Student_205,Female,17,10,97,87,50,90.9973712555241,PhD,3.7735101540754097,Yes,Standard,Yes,Fail
S206,Student_206,Other,15,10,96,66,78,81.01146207648458,PhD,4.064981891041516,Yes,Free or reduced,No,Pass
S207,Student_207,Female,16,9,76,72,99,88.52242475904461,PhD,2.2163785438851353,Yes,Free or reduced,Yes,Fail
S208,Student_208,Other,15,10,64,73,83,96.6472707932199,PhD,4.246508057779414,Yes,Free or reduced,No,Fail
S209,Student_209,Male,15,9,55,99,62,96.11297610726683,High School,2.175667042019735,Yes,Free or reduced,No,Fail
S210,Student_210,Male,16,9,96,57,50,84.48637117707052,PhD,2.785305439946245,Yes,Free or reduced,Yes,Fail
S211,Student_211,Male,16,11,63,90,83,84.52158142021125,Master's,3.9080741080565358,No,Free or reduced,Yes,Fail
S212,Student_212,Male,16,11,60,55,78,96.34610624426473,Bachelor's,3.7716809168991543,No,Free or reduced,Yes,Pass
S213,Student_213,Other,17,12,88,54,97,98.60796840338651,Master's,4.9494738892488,Yes,Free or reduced,Yes,Fail
S214,Student_214,Male,15,11,58,93,96,81.90721842546007,PhD,1.9006440968637275,No,Standard,Yes,Fail
S215,Student_215,Female,15,11,75,78,62,89.0011727885245,High School,3.6492716541583294,Yes,Standard,Yes,Fail
S216,Student_216,Female,17,10,65,77,97,86.74908557928458,PhD,3.4387276331031096,Yes,Standard,No,Fail
S217,Student_217,Female,16,11,54,60,98,97.41376910914879,Bachelor's,4.66039381796012,No,Standard,No,Pass
S218,Student_218,Other,17,12,59,50,78,81.67049829360037,Master's,1.6254485665795002,Yes,Free or reduced,No,Fail
S219,Student_219,Male,17,10,99,92,88,84.22251885116074,Bachelor's,4.007192654347731,Yes,Standard,No,Pass
S220,Student_220,Male,17,12,52,68,73,95.04936675172989,Bachelor's,3.2730744650750734,Yes,Free or reduced,Yes,Fail
S221,Student_221,Male,15,11,62,58,75,81.02587697962431,Bachelor's,2.0986634791516217,Yes,Standard,Yes,Fail
S222,Student_222,Other,17,12,92,76,66,89.85070761428578,Master's,2.8977396565886964,Yes,Free or reduced,No,Pass
S223,Student_223,Female,15,10,98,83,56,88.8421406935944,PhD,2.335106388279191,Yes,Free or reduced,No,Pass
S224,Student_224,Female,15,9,79,93,62,86.68802357977498,Bachelor's,3.3172536111538435,Yes,Standard,No,Pass
S225,Student_225,Male,15,12,94,53,54,87.89144630637847,Master's,4.556002443258663,No,Standard,Yes,Fail
S226,Student_226,Female,16,12,55,85,75,90.59881173860467,High School,3.277219937648808,No,Free or reduced,Yes,Pass
S227,Student_227,Female,15,10,66,67,98,83.22734716776766,Master's,3.526889673306336,Yes,Free or reduced,Yes,Fail
S228,Student_228,Other,15,10,94,64,52,91.43991756567186,High School,3.074991388458838,No,Free or reduced,No,Pass
S229,Student_229,Other,16,12,68,62,56,96.10864658599972,Master's,1.2046620257819036,Yes,Standard,No,Pass
S230,Student_230,Other,15,11,91,68,98,95.20321859580318,PhD,1.931434227504377,Yes,Standard,Yes,Fail
S231,Student_231,Other,17,12,84,98,88,83.07799809387548,Bachelor's,2.968006917728331,Yes,Free or reduced,Yes,Pass
S232,Student_232,Male,17,10,95,55,50,82.98498939482948,PhD,2.240941134978819,Yes,Standard,No,Pass
S233,Student_233,Other,15,9,75,97,98,85.36348735489827,Master's,1.7270543910447769,No,Free or reduced,No,Fail
S234,Student_234,Female,16,9,54,61,66,87.22149452682075,Bachelor's,3.0165313676737533,No,Standard,Yes,Fail
S235,Student_235,Male,17,11,78,86,92,88.16911162816965,High School,2.2912391737914013,No,Standard,No,Fail
S236,Student_236,Female,16,12,86,66,74,93.59394433666691,Master's,2.032430572693659,No,Standard,Yes,Pass
S237,Student_237,Female,16,9,69,72,52,81.1336086433167,Bachelor's,2.855941669761523,Yes,Standard,Yes,Pass
S238,Student_238,Female,17,12,98,75,64,80.69345408452133,High School,1.5331370323286926,No,Standard,No,Pass
S239,Student_239,Other,16,10,70,78,78,87.83821125887818,High School,4.710982932301629,Yes,Free or reduced,No,Pass
S240,Student_240,Other,17,9,59,82,92,93.94327384275961,PhD,4.470808391676956,Yes,Free or reduced,No,Pass
